sample,oat,day,fastq_1,fastq_2
oat_9_d1,oat_9,day1,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_1_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_1_R2.fastq.gz
oat_16_d1,oat_16,day1,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_2_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_2_R2.fastq.gz
oat_17_d1,oat_17,day1,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_3_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_3_R2.fastq.gz
oat_18_d1,oat_18,day1,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_4_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_4_R2.fastq.gz
oat_19_d1,oat_19,day1,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_5_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_5_R2.fastq.gz
oat_22_d1,oat_22,day1,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_6_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_6_R2.fastq.gz
oat_23_d1,oat_23,day1,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_7_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_7_R2.fastq.gz
oat_26_d1,oat_26,day1,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_8_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_8_R2.fastq.gz
oat_4_d2,oat_4,day2,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_9_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_9_R2.fastq.gz
oat_9_d2,oat_9,day2,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_10_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_10_R2.fastq.gz
oat_10_d2,oat_10,day2,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_11_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_11_R2.fastq.gz
oat_16_d2,oat_16,day2,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_12_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_12_R2.fastq.gz
oat_17_d2,oat_17,day2,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_13_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_13_R2.fastq.gz
oat_18_d2,oat_18,day2,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_14_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_14_R2.fastq.gz
oat_19_d2,oat_19,day2,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_15_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_15_R2.fastq.gz
oat_22_d2,oat_22,day2,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_16_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_16_R2.fastq.gz
oat_23_d2,oat_23,day2,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_17_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_17_R2.fastq.gz
oat_26_d2,oat_26,day2,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_18_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_18_R2.fastq.gz
oat_4_d3,oat_4,day3,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_19_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_19_R2.fastq.gz
oat_9_d3,oat_9,day3,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_20_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_20_R2.fastq.gz
oat_10_d3,oat_10,day3,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_21_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_21_R2.fastq.gz
oat_16_d3,oat_16,day3,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_22_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_22_R2.fastq.gz
oat_17_d3,oat_17,day3,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_23_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_23_R2.fastq.gz
