accession_name	genome_accession	Sequence_abundance	Adjusted_ANI	Eff_cov	Contig_name	completeness	contamination	contigs	taxonomy	species	sample	oat	day	genus	genus_group
zr26742_4	ODFM-BA-A-0094-002_Leuconostoc_lactis_WIKIM21	63.2227	99.64	1797	ODFM-BA-A-0094-002_Leuconostoc_lactis_WIKIM21_NZ_LJIV01000001.1 Leuconostoc lactis strain WIKIM21 contig00001, whole genome shotgun sequence	99.44	0.84	22	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc lactis A	oat_10_d6	oat_10	day6	Leuconostoc	Leuconostoc
zr26742_4	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38	19.4925	99.59	503	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38_NZ_CP017124.1 Lactobacillus curvatus strain WiKim38, complete genome	99.46	0	1	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Latilactobacillus	Latilactobacillus curvatus	oat_10_d6	oat_10	day6	Latilactobacillus	Latilactobacillus
zr26742_4	CM_UNINA_FFOOD__FFOOD_245__bin.2	9.9254	98.15	327	NODE_1_length_160535_cov_17.2789_ID_55527	99.58	0.22	34	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc lactis	oat_10_d6	oat_10	day6	Leuconostoc	Leuconostoc
zr26742_4	LeechJ_xxxx__AF66__bin.13	2.6412	99.41	103	AF66_k141_253	56.50470219	0	338	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus taiwanensis	oat_10_d6	oat_10	day6	Lactococcus	Lactococcus
zr26742_4	MAG_501	1.1884	99.21	26	MAG_501_0	100	0	46	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus lactis	oat_10_d6	oat_10	day6	Lactococcus	Lactococcus
zr26742_4	MortensenS_xxxx__WK028-2-L-48h-03A1_S20__bin.5	0.6456	99.83	19	WK028-2-L-48h-03A1_S20_k141_3165	99.88764045	0	19	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc citreum	oat_10_d6	oat_10	day6	Leuconostoc	Leuconostoc
zr26742_4	LeechJ_2020__ERS3967691__bin.13	0.6619	98.17	17	ERS3967691_k141_96	92.61758691	1.533742331	211	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Weissella	Weissella cibaria	oat_10_d6	oat_10	day6	Weissella	Weissella
zr26742_4	MortensenS_xxxx__WK002-1-L-48h-01F6_S30__bin.6	0.3712	99.79	10.487	WK002-1-L-48h-01F6_S30_k141_2565	100	0	16	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc falkenbergense	oat_10_d6	oat_10	day6	Leuconostoc	Leuconostoc
zr26742_4	MAG_183	0.5165	98.9	5.732	MAG_183_0	95.53	2.68	667	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Leclercia	Leclercia adecarboxylata	oat_10_d6	oat_10	day6	Leclercia	Leclercia
zr26742_4	FontanaF_2023__SRR20746838__bin.11	0.1994	98.04	5.468	NODE_1_length_180989_cov_16.9995_ID_3968	91.82	0.24	71	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus garvieae	oat_10_d6	oat_10	day6	Lactococcus	Lactococcus
zr26742_4	EBC_082.15	0.476	98.78	5.065	EBC_082.15_EBC_082_scaffold_602	92.69	4.54	82	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia	Kosakonia cowanii	oat_10_d6	oat_10	day6	Kosakonia	Kosakonia
zr26742_4	MortensenS_xxxx__WK023-1-L-48h-02G3_S117__bin.1	0.1725	95.53	4.318	WK023-1-L-48h-02G3_S117_k141_1117	99.82363316	0	29	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc pseudomesenteroides	oat_10_d6	oat_10	day6	Leuconostoc	Leuconostoc
zr26742_4	MAG_116	0.0926	97.29	4.079	MAG_116_0	51.9	1.59	467	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc pseudomesenteroides	oat_10_d6	oat_10	day6	Leuconostoc	Leuconostoc
zr26742_4	XieM_2019__SAMC044639__bin.32	0.0924	99.38	1.008	SAMC044639_k141_719	97.32240437	1.879781421	45	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pantoea	Pantoea agglomerans	oat_10_d6	oat_10	day6	Pantoea	Pantoea
zr26742_4	FontanaF_2023__SRR20746854__bin.2	0.0781	96.44	0.875	NODE_7_length_112150_cov_14.2384_ID_46122	100	0.01	195	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	Enterobacter intestinihominis	oat_10_d6	oat_10	day6	Enterobacter	Enterobacter
zr26742_4	EBC_095.37	0.0499	99.46	0.803	EBC_095.37_EBC_095_scaffold_66	58.62	0	70	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Erwinia	Erwinia sp003937915	oat_10_d6	oat_10	day6	Erwinia	Erwinia
zr26742_4	LeechJ_xxxx__AF73__bin.2	0.0403	98.64	0.468	AF73_k141_59	96.33336326	1.470508658	112	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter_D	Enterobacter D kobei A	oat_10_d6	oat_10	day6	Enterobacter_D	Enterobacter_D
zr26742_4	GCF_009913915.1_ASM991391v1_genomic	0.0163	98.97	0.395	GCF_009913915.1_ASM991391v1_genomic_NZ_CP028251.1 Leuconostoc mesenteroides strain SRCM102733 chromosome, complete genome	100	0	3	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc mesenteroides	oat_10_d6	oat_10	day6	Leuconostoc	Leuconostoc
zr26742_4	CM_UNINA_FFOOD__FFOOD_289__bin.32	0.0327	97.15	0.393	NODE_38_length_116599_cov_69.9888_ID_20640	82.32	1.9	257	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Lelliottia	Lelliottia nimipressuralis	oat_10_d6	oat_10	day6	Lelliottia	Lelliottia
zr26742_4	MAG_107	0.0079	98.33	0.31	MAG_107_0	67.86	8.62	565	Bacillota;Bacilli;Bacillales;Bacillaceae_G;Bacillus_A	Bacillus A cereus	oat_10_d6	oat_10	day6	Bacillus_A	Bacillus
zr26742_4	LeechJ_xxxx__AF15__bin.4	0.0199	95.44	0.264	AF15_k141_25	77.41789117	2.841329195	974	Bacillota;Bacilli;Bacillales;Bacillaceae_G;Bacillus_A	Bacillus A pacificus	oat_10_d6	oat_10	day6	Bacillus_A	Bacillus
zr26742_4	MotaGutierrezJ_2021__SRR11602140__bin.22	0.0152	98.73	0.208	NODE_306_length_23997_cov_9.0000_ID_64100	76.3	2.56	977	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pantoea	Pantoea dispersa	oat_10_d6	oat_10	day6	Pantoea	Pantoea
zr26742_4	MAG_579	0.0142	96.69	0.16	MAG_579_0	78.54	8.62	522	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Leclercia_A	Leclercia A pneumoniae	oat_10_d6	oat_10	day6	Leclercia_A	Leclercia_A
zr26742_4	KharnaiorP_2023__SRR22859377__bin.10	0.0069	98.97	0.127	NODE_8_length_174488_cov_60.9499_ID_127332	87.3	1.14	139	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_D	Enterococcus D sp001297065	oat_10_d6	oat_10	day6	Enterococcus_D	Enterococcus
zr26742_4	CM_UNINA_FFOOD__FFOOD_226__bin.6	0.0064	98.54	0.106	NODE_2_length_319059_cov_34.9987_ID_36074	100	4.65	51	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_B	Enterococcus B hirae	oat_10_d6	oat_10	day6	Enterococcus_B	Enterococcus
zr26742_4	MASTER_WP4_CSIC_1__P2235_73323__bin.9	0.0053	95.29	0.095	P2235_73323_k141_1719	99.62546816	0	44	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	Enterococcus faecalis	oat_10_d6	oat_10	day6	Enterococcus	Enterococcus
zr26742_4	MAG_45	0.0033	98.25	0.064	MAG_45_0	85.45	0.19	536	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_D	Enterococcus D casseliflavus	oat_10_d6	oat_10	day6	Enterococcus_D	Enterococcus
zr26742_4	YuY_2022__SRR16950700__bin.23	0.0025	98.18	0.064	NODE_137_length_39565_cov_54.0000_ID_37700	94.14	3.41	270	Bacillota;Bacilli;Bacillales;Bacillaceae_H;Priestia	Priestia megaterium	oat_10_d6	oat_10	day6	Priestia	Priestia
zr26742_4	CM_UNINA_FFOOD__FFOOD_266__bin.6	0.0028	97.78	0.027	NODE_1_length_400287_cov_21.9997_ID_32608	79.16	1.36	227	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas_E	Pseudomonas E simiae	oat_10_d6	oat_10	day6	Pseudomonas_E	Pseudomonas_E
zr26742_1	FontanaF_2023__SRR20746854__bin.2	65.5145	97.16	371	NODE_7_length_112150_cov_14.2384_ID_46122	100	0.01	195	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	Enterobacter intestinihominis	oat_4_d1	oat_4	day1	Enterobacter	Enterobacter
zr26742_1	MAG_19	26.533	99.53	128	MAG_19_0	98.94	0.47	86	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	Klebsiella pneumoniae	oat_4_d1	oat_4	day1	Klebsiella	Klebsiella
zr26742_1	LeechJ_xxxx__AF15__bin.4	5.0598	99.49	34	AF15_k141_25	77.41789117	2.841329195	974	Bacillota;Bacilli;Bacillales;Bacillaceae_G;Bacillus_A	Bacillus A pacificus	oat_4_d1	oat_4	day1	Bacillus_A	Bacillus
zr26742_1	MASTER_WP4_TEAGASC_1__TGS12-29__bin.6	0.6583	99.34	6.933	TGS12-29_k141_701	99.62546816	0	108	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_B	Enterococcus B faecium	oat_4_d1	oat_4	day1	Enterococcus_B	Enterococcus
zr26742_1	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101	0.7171	97.92	6.326	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101_NZ_WOTS01000010.1 Enterococcus lactis strain CICC 24101 NODE_10_length_82300_cov_4.602353, whole genome shotgun sequence	99.62	0	53	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_B	Enterococcus B lactis	oat_4_d1	oat_4	day1	Enterococcus_B	Enterococcus
zr26742_1	P.1_bin.1	0.9897	96.54	5.547	P.1_bin.1_k77_21174	98.9	0.71	143	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter	Cronobacter malonaticus	oat_4_d1	oat_4	day1	Cronobacter	Cronobacter
zr26742_1	MotaGutierrezJ_2021__SRR11602140__bin.22	0.2199	98.57	1.525	NODE_306_length_23997_cov_9.0000_ID_64100	76.3	2.56	977	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pantoea	Pantoea dispersa	oat_4_d1	oat_4	day1	Pantoea	Pantoea
zr26742_1	YulandiA_2020__SRS6115053__bin.10	0.124	99.77	1.055	SRS6115053_k141_3360	97.73584906	0.377358491	114	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_D	Enterococcus D gallinarum	oat_4_d1	oat_4	day1	Enterococcus_D	Enterococcus
zr26742_1	MAG_312	0.0859	98.22	0.629	MAG_312_0	99.73	0.05	90	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	Acinetobacter baumannii	oat_4_d1	oat_4	day1	Acinetobacter	Acinetobacter
zr26742_1	MotaGutierrezJ_2021__SRR11602153__bin.4	0.0682	98.42	0.43	NODE_1_length_695767_cov_46.0000_ID_85857	100	0.13	33	Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus	Bacillus subtilis	oat_4_d1	oat_4	day1	Bacillus	Bacillus
zr26742_1	YuY_2022__SRR16950700__bin.23	0.0079	96.12	0.101	NODE_137_length_39565_cov_54.0000_ID_37700	94.14	3.41	270	Bacillota;Bacilli;Bacillales;Bacillaceae_H;Priestia	Priestia megaterium	oat_4_d1	oat_4	day1	Priestia	Priestia
zr26742_1	YulandiA_2020__SRS6115053__bin.3	0.0131	98.94	0.088	SRS6115053_k141_44	87.46957694	2.784657723	888	Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Comamonas	Comamonas terrae	oat_4_d1	oat_4	day1	Comamonas	Comamonas
zr26742_1	MAG_45	0.0086	97.82	0.085	MAG_45_0	85.45	0.19	536	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_D	Enterococcus D casseliflavus	oat_4_d1	oat_4	day1	Enterococcus_D	Enterococcus
zr26742_2	ODFM-BA-A-0094-002_Leuconostoc_lactis_WIKIM21	75.0407	99.62	1348	ODFM-BA-A-0094-002_Leuconostoc_lactis_WIKIM21_NZ_LJIV01000001.1 Leuconostoc lactis strain WIKIM21 contig00001, whole genome shotgun sequence	99.44	0.84	22	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc lactis A	oat_10_d1	oat_10	day1	Leuconostoc	Leuconostoc
zr26742_2	CM_UNINA_FFOOD__FFOOD_245__bin.2	12.2948	98.08	256	NODE_1_length_160535_cov_17.2789_ID_55527	99.58	0.22	34	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc	Leuconostoc lactis	oat_10_d1	oat_10	day1	Leuconostoc	Leuconostoc
zr26742_2	LeechJ_xxxx__AF66__bin.13	1.4201	99.39	35	AF66_k141_253	56.50470219	0	338	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus taiwanensis	oat_10_d1	oat_10	day1	Lactococcus	Lactococcus
zr26742_2	LeechJ_2020__ERS3967691__bin.13	1.6018	97.97	26	ERS3967691_k141_96	92.61758691	1.533742331	211	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Weissella	Weissella cibaria	oat_10_d1	oat_10	day1	Weissella	Weissella
zr26742_2	EBC_082.15	2.8249	99.4	19	EBC_082.15_EBC_082_scaffold_602	92.69	4.54	82	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia	Kosakonia cowanii	oat_10_d1	oat_10	day1	Kosakonia	Kosakonia
zr26742_2	MAG_501	1.0084	99.21	13.943	MAG_501_0	100	0	46	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus lactis	oat_10_d1	oat_10	day1	Lactococcus	Lactococcus
zr26742_2	EBC_095.37	1.2843	99.75	13.06	EBC_095.37_EBC_095_scaffold_66	58.62	0	70	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Erwinia	Erwinia sp003937915	oat_10_d1	oat_10	day1	Erwinia	Erwinia
zr26742_2	MAG_183	1.4859	99.13	10.423	MAG_183_0	95.53	2.68	667	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Leclercia	Leclercia adecarboxylata	oat_10_d1	oat_10	day1	Leclercia	Leclercia
zr26742_2	XieM_2019__SAMC044639__bin.32	0.7916	99.52	5.461	SAMC044639_k141_719	97.32240437	1.879781421	45	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pantoea	Pantoea agglomerans	oat_10_d1	oat_10	day1	Pantoea	Pantoea
zr26742_2	FontanaF_2023__SRR20746838__bin.11	0.3073	98.03	5.326	NODE_1_length_180989_cov_16.9995_ID_3968	91.82	0.24	71	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Lactococcus garvieae	oat_10_d1	oat_10	day1	Lactococcus	Lactococcus
zr26742_2	MAG_107	0.1811	98.6	4.497	MAG_107_0	67.86	8.62	565	Bacillota;Bacilli;Bacillales;Bacillaceae_G;Bacillus_A	Bacillus A cereus	oat_10_d1	oat_10	day1	Bacillus_A	Bacillus
zr26742_2	LeechJ_xxxx__AF15__bin.4	0.4072	95.35	3.423	AF15_k141_25	77.41789117	2.841329195	974	Bacillota;Bacilli;Bacillales;Bacillaceae_G;Bacillus_A	Bacillus A pacificus	oat_10_d1	oat_10	day1	Bacillus_A	Bacillus
zr26742_2	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38	0.2021	98.94	3.296	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38_NZ_CP017124.1 Lactobacillus curvatus strain WiKim38, complete genome	99.46	0	1	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Latilactobacillus	Latilactobacillus curvatus	oat_10_d1	oat_10	day1	Latilactobacillus	Latilactobacillus
zr26742_2	LeechJ_xxxx__AF73__bin.2	0.3832	98.46	2.812	AF73_k141_59	96.33336326	1.470508658	112	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter_D	Enterobacter D kobei A	oat_10_d1	oat_10	day1	Enterobacter_D	Enterobacter_D
