Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name	sample_name
zr28333_7_trimmed_1.fastq.gz	YuY_2022__SRR16950700__bin.23.fa	32.7572	18.5043	97.78	37.0	NA-NA	HIGH	NA-NA	37	35.762	4168/8371	97.78	19	NODE_137_length_39565_cov_54.0000_ID_37700	zr28333_7
zr28333_7_trimmed_1.fastq.gz	EBC_082.15.fa	31.8719	42.7714	98.52	36.0	NA-NA	HIGH	NA-NA	36	35.482	12893/20483	98.52	0	EBC_082.15_EBC_082_scaffold_602	zr28333_7
zr28333_7_trimmed_1.fastq.gz	MotaGutierrezJ_2021__SRR11602153__bin.4.fa	30.1012	34.4479	99.22	34.0	NA-NA	HIGH	NA-NA	34	30.408	13794/17572	99.22	0	NODE_1_length_695767_cov_46.0000_ID_85857	zr28333_7
zr28333_7_trimmed_1.fastq.gz	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101.fa	3.3515	2.7414	98.24	3.786	NA-NA	HIGH	NA-NA	3	3.786	7060/12230	98.24	19	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101_NZ_WOTS01000010.1 Enterococcus lactis strain CICC 24101 NODE_10_length_82300_cov_4.602353, whole genome shotgun sequence	zr28333_7
zr28333_7_trimmed_1.fastq.gz	MAG_45.fa	1.3153	0.9605	99.1	1.486	99.01-99.17	1.486	1.42-1.56	2	2.097	6349/10848	98.29	0	MAG_45_0	zr28333_7
zr28333_7_trimmed_1.fastq.gz	YuY_2022__SRR16950700__bin.25.fa	0.2874	0.1735	98.73	0.325	98.34-99.10	0.325	0.28-0.37	1	1.201	1832/9054	94.98	8	NODE_144_length_38003_cov_20.0000_ID_27523	zr28333_7
zr28333_7_trimmed_1.fastq.gz	MAG_131.fa	0.1608	0.2226	97.4	0.182	96.89-97.87	0.182	0.15-0.22	1	1.365	1661/21023	92.14	58	MAG_131_0	zr28333_7
zr28333_7_trimmed_1.fastq.gz	LeechJ_xxxx__AF15__bin.4.fa	0.0732	0.0786	96.64	0.083	95.55-98.33	0.083	0.05-0.12	1	1.131	444/15952	89.09	30	AF15_k141_25	zr28333_7
zr28333_7_trimmed_1.fastq.gz	XieM_2019__SAMC044639__bin.32.fa	0.0443	0.0579	97.3	0.05	95.51-99.33	0.050	0.03-0.09	1	1.002	447/19857	88.48	31	SAMC044639_k141_719	zr28333_7
zr28333_7_trimmed_1.fastq.gz	TomarS_2023__SRR15925267__bin.15.fa	0.0373	0.0417	98.14	0.042	96.04-100.12	0.042	0.02-0.07	1	1.01	395/16868	88.59	35	NODE_1_length_226747_cov_170.6923_ID_63368	zr28333_7
zr28333_17_trimmed_1.fastq.gz	EBC_082.15.fa	43.5661	61.9895	98.61	71.0	NA-NA	HIGH	NA-NA	71	64.428	13276/20483	98.61	0	EBC_082.15_EBC_082_scaffold_602	zr28333_17
zr28333_17_trimmed_1.fastq.gz	MortensenS_xxxx__WK002-1-L-48h-01F6_S30__bin.6.fa	28.2259	15.1312	99.83	46.0	NA-NA	HIGH	NA-NA	46	39.564	7385/7783	99.83	0	WK002-1-L-48h-01F6_S30_k141_2565	zr28333_17
zr28333_17_trimmed_1.fastq.gz	MAG_45.fa	15.9538	12.3531	99.65	26.0	NA-NA	HIGH	NA-NA	26	25.257	9721/10848	99.65	0	MAG_45_0	zr28333_17
zr28333_17_trimmed_1.fastq.gz	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101.fa	5.3055	4.6014	98.41	8.646	NA-NA	HIGH	NA-NA	9	8.646	7434/12230	98.41	345	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101_NZ_WOTS01000010.1 Enterococcus lactis strain CICC 24101 NODE_10_length_82300_cov_4.602353, whole genome shotgun sequence	zr28333_17
zr28333_17_trimmed_1.fastq.gz	LeechJ_xxxx__AF66__bin.10.fa	3.8238	2.7228	97.41	6.232	NA-NA	HIGH	NA-NA	6	6.232	4369/9849	97.41	1	AF66_k141_123	zr28333_17
zr28333_17_trimmed_1.fastq.gz	FontanaF_2023__SRR20746834__bin.2.fa	0.7972	0.6703	98.58	1.299	98.49-98.68	1.299	1.23-1.37	2	2.203	5640/11938	97.61	13	NODE_15_length_59385_cov_11.2996_ID_3067	zr28333_17
zr28333_17_trimmed_1.fastq.gz	LeechJ_xxxx__AF52__bin.1.fa	0.7093	0.9086	97.39	1.156	97.28-97.49	1.156	1.09-1.21	2	2.075	5432/17995	96.21	6	AF52_k141_89	zr28333_17
zr28333_17_trimmed_1.fastq.gz	MotaGutierrezJ_2021__SRR11602153__bin.4.fa	0.6253	0.7588	98.65	1.019	98.55-98.75	1.019	0.97-1.06	1	1.649	7374/17572	97.24	1	NODE_1_length_695767_cov_46.0000_ID_85857	zr28333_17
zr28333_17_trimmed_1.fastq.gz	GCF_001885995.1_ASM188599v1_genomic.fa	0.2659	0.1868	97.71	0.433	97.39-97.96	0.433	0.39-0.47	1	1.34	1810/10141	94.59	169	GCF_001885995.1_ASM188599v1_genomic_NZ_JXKT01000001.1 Enterococcus italicus DSM 15952 Scaffold1, whole genome shotgun sequence	zr28333_17
zr28333_17_trimmed_1.fastq.gz	KharnaiorP_2023__SRR22859377__bin.10.fa	0.2165	0.1768	98.14	0.353	97.81-98.48	0.353	0.31-0.39	1	1.627	2051/11722	94.53	108	NODE_8_length_174488_cov_60.9499_ID_127332	zr28333_17
zr28333_17_trimmed_1.fastq.gz	LeechJ_xxxx__AF15__bin.4.fa	0.1895	0.2158	99.04	0.309	98.83-99.29	0.309	0.28-0.33	1	1.183	3167/15952	94.92	0	AF15_k141_25	zr28333_17
zr28333_17_trimmed_1.fastq.gz	YuY_2022__SRR16950700__bin.23.fa	0.1234	0.0739	98.03	0.201	97.41-98.54	0.201	0.16-0.24	1	1.147	824/8371	92.79	10	NODE_137_length_39565_cov_54.0000_ID_37700	zr28333_17
zr28333_17_trimmed_1.fastq.gz	YulandiA_2020__SRS6115052__bin.21.fa	0.0667	0.0374	97.93	0.109	96.55-98.79	0.109	0.08-0.17	1	1.039	435/7955	91.05	3	SRS6115052_k141_129	zr28333_17
zr28333_17_trimmed_1.fastq.gz	P.1_bin.1.fa	0.0573	0.0782	95.76	0.093	94.54-97.19	0.093	0.06-0.14	1	1.121	552/19536	89.13	121	P.1_bin.1_k77_21174	zr28333_17
zr28333_17_trimmed_1.fastq.gz	XieM_2019__SAMC044639__bin.32.fa	0.0499	0.0692	98.37	0.081	97.42-99.41	0.081	0.06-0.11	1	1.04	965/19857	90.71	31	SAMC044639_k141_719	zr28333_17
zr28333_17_trimmed_1.fastq.gz	LimaC_2020__SRR9640350__bin.12.fa	0.0239	0.0263	96.81	0.039	94.36-97.90	0.039	0.03-0.08	1	1.212	222/15488	87.2	2	NODE_7_length_94694_cov_8.8202_ID_19916	zr28333_17
zr28333_21_trimmed_1.fastq.gz	ODFM-BA-A-0094-002_Leuconostoc_lactis_WIKIM21.fa	68.2657	67.2878	99.58	760.0	NA-NA	HIGH	NA-NA	760	713.869	6592/7507	99.58	41	ODFM-BA-A-0094-002_Leuconostoc_lactis_WIKIM21_NZ_LJIV01000001.1 Leuconostoc lactis strain WIKIM21 contig00001, whole genome shotgun sequence	zr28333_21
zr28333_21_trimmed_1.fastq.gz	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38.fa	14.2819	15.5058	99.55	159.0	NA-NA	HIGH	NA-NA	159	145.264	6972/8010	99.55	0	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38_NZ_CP017124.1 Lactobacillus curvatus strain WiKim38, complete genome	zr28333_21
zr28333_21_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_245__bin.2.fa	10.5093	8.9368	97.9	117.0	NA-NA	HIGH	NA-NA	117	116.3	3390/6553	97.9	1715	NODE_1_length_160535_cov_17.2789_ID_55527	zr28333_21
zr28333_21_trimmed_1.fastq.gz	LeechJ_xxxx__AF66__bin.13.fa	2.7845	2.0004	99.33	31.0	NA-NA	HIGH	NA-NA	31	31.749	4565/5623	99.33	2	AF66_k141_253	zr28333_21
zr28333_21_trimmed_1.fastq.gz	MortensenS_xxxx__WK028-2-L-48h-03A1_S20__bin.5.fa	0.8057	0.767	99.82	8.97	NA-NA	HIGH	NA-NA	9	8.97	6969/7379	99.82	0	WK028-2-L-48h-03A1_S20_k141_3165	zr28333_21
zr28333_21_trimmed_1.fastq.gz	LeechJ_2020__ERS3967691__bin.13.fa	0.7856	0.8569	98.07	8.746	NA-NA	HIGH	NA-NA	9	8.746	4504/8251	98.07	91	ERS3967691_k141_96	zr28333_21
zr28333_21_trimmed_1.fastq.gz	EBC_082.15.fa	0.6834	1.7991	98.95	7.608	NA-NA	HIGH	NA-NA	7	7.608	14758/20483	98.95	185	EBC_082.15_EBC_082_scaffold_602	zr28333_21
zr28333_21_trimmed_1.fastq.gz	MAG_501.fa	0.5006	0.6411	99.16	5.573	NA-NA	HIGH	NA-NA	5	5.573	7471/9710	99.16	55	MAG_501_0	zr28333_21
zr28333_21_trimmed_1.fastq.gz	MortensenS_xxxx__WK002-1-L-48h-01F6_S30__bin.6.fa	0.2767	0.2744	99.52	3.081	NA-NA	HIGH	NA-NA	3	3.081	6703/7783	99.52	57	WK002-1-L-48h-01F6_S30_k141_2565	zr28333_21
zr28333_21_trimmed_1.fastq.gz	MAG_183.fa	0.165	0.4165	99.18	1.837	99.11-99.23	1.837	1.76-1.92	2	2.738	12625/19273	98.64	57	MAG_183_0	zr28333_21
zr28333_21_trimmed_1.fastq.gz	MortensenS_xxxx__WK023-1-L-48h-02G3_S117__bin.1.fa	0.1387	0.1553	95.62	1.544	95.43-95.75	1.544	1.39-1.72	2	2.169	1708/8642	94.9	2502	WK023-1-L-48h-02G3_S117_k141_1117	zr28333_21
zr28333_21_trimmed_1.fastq.gz	EBC_095.37.fa	0.1265	0.2202	99.63	1.408	99.56-99.68	1.408	1.35-1.46	2	1.985	9149/13589	98.73	0	EBC_095.37_EBC_095_scaffold_66	zr28333_21
zr28333_21_trimmed_1.fastq.gz	MAG_116.fa	0.1248	0.0794	97.51	1.39	97.38-97.69	1.390	1.22-1.49	2	2.154	1627/4679	96.65	679	MAG_116_0	zr28333_21
zr28333_21_trimmed_1.fastq.gz	XieM_2019__SAMC044639__bin.32.fa	0.1024	0.2627	99.42	1.14	99.35-99.49	1.140	1.11-1.18	2	1.871	11291/19857	98.2	31	SAMC044639_k141_719	zr28333_21
zr28333_21_trimmed_1.fastq.gz	FontanaF_2023__SRR20746838__bin.11.fa	0.089	0.091	97.94	0.991	97.73-98.13	0.991	0.90-1.07	1	1.589	2622/7829	96.53	46	NODE_1_length_180989_cov_16.9995_ID_3968	zr28333_21
zr28333_21_trimmed_1.fastq.gz	LeechJ_xxxx__AF73__bin.2.fa	0.0866	0.2091	98.73	0.965	98.64-98.84	0.965	0.92-1.01	1	1.624	7819/18586	97.25	354	AF73_k141_59	zr28333_21
zr28333_21_trimmed_1.fastq.gz	FontanaF_2023__SRR20746854__bin.2.fa	0.0716	0.179	96.31	0.797	96.13-96.48	0.797	0.74-0.86	1	1.466	3374/19352	94.52	760	NODE_7_length_112150_cov_14.2384_ID_46122	zr28333_21
zr28333_21_trimmed_1.fastq.gz	MAG_107.fa	0.0601	0.0428	97.92	0.669	97.60-98.15	0.669	0.60-0.74	1	1.383	1388/5466	95.67	1	MAG_107_0	zr28333_21
zr28333_21_trimmed_1.fastq.gz	LeechJ_xxxx__AF15__bin.4.fa	0.0424	0.0894	95.1	0.472	94.71-95.42	0.472	0.41-0.52	1	1.346	1267/15952	92.15	353	AF15_k141_25	zr28333_21
zr28333_21_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_289__bin.32.fa	0.0378	0.0881	97.03	0.42	96.76-97.31	0.420	0.38-0.46	1	1.279	2512/18296	93.8	413	NODE_38_length_116599_cov_69.9888_ID_20640	zr28333_21
zr28333_21_trimmed_1.fastq.gz	GCF_009913915.1_ASM991391v1_genomic.fa	0.023	0.0265	98.46	0.256	97.97-98.97	0.256	0.21-0.30	1	1.358	1300/8865	94.0	145	GCF_009913915.1_ASM991391v1_genomic_NZ_CP028251.1 Leuconostoc mesenteroides strain SRCM102733 chromosome, complete genome	zr28333_21
zr28333_21_trimmed_1.fastq.gz	MotaGutierrezJ_2021__SRR11602140__bin.22.fa	0.0126	0.0258	97.98	0.14	97.46-98.55	0.140	0.11-0.17	1	1.122	1105/15633	91.81	173	NODE_306_length_23997_cov_9.0000_ID_64100	zr28333_21
zr28333_21_trimmed_1.fastq.gz	KharnaiorP_2023__SRR22859377__bin.10.fa	0.0101	0.0152	98.88	0.112	98.08-99.64	0.112	0.09-0.14	1	1.067	876/11722	91.97	3	NODE_8_length_174488_cov_60.9499_ID_127332	zr28333_21
zr28333_21_trimmed_1.fastq.gz	MAG_45.fa	0.0099	0.0141	95.54	0.11	94.13-97.10	0.110	0.06-0.17	1	1.106	274/10848	88.81	14	MAG_45_0	zr28333_21
zr28333_21_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_266__bin.6.fa	0.0036	0.0104	99.34	0.04	97.64-101.04	0.040	0.02-0.07	1	1.021	709/21872	89.53	0	NODE_1_length_400287_cov_21.9997_ID_32608	zr28333_21
