Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name	sample_name
zr26742_3_n5000000_trimmed_1.fastq.gz	LeechJ_xxxx__AF68__bin.13.fa	35.8603	24.047	99.27	78.0	NA-NA	HIGH	NA-NA	78	80.313	5983/7501	99.27	30	AF68_k141_238	zr26742_3_n5000000
zr26742_3_n5000000_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811279__bin.3.fa	17.0107	20.2612	99.4	37.0	NA-NA	HIGH	NA-NA	37	36.168	11291/13589	99.4	0	NODE_1_length_274429_cov_22.9992_ID_7781	zr26742_3_n5000000
zr26742_3_n5000000_trimmed_1.fastq.gz	YulandiA_2020__SRS6115052__bin.21.fa	16.0912	11.434	98.9	35.0	NA-NA	HIGH	NA-NA	35	30.106	5637/7955	98.9	3	SRS6115052_k141_129	zr26742_3_n5000000
zr26742_3_n5000000_trimmed_1.fastq.gz	FontanaF_2023__SRR20746854__bin.2.fa	13.3327	22.7966	96.77	29.0	NA-NA	HIGH	NA-NA	29	29.216	6995/19352	96.77	238	NODE_7_length_112150_cov_14.2384_ID_46122	zr26742_3_n5000000
zr26742_3_n5000000_trimmed_1.fastq.gz	MortensenS_xxxx__WK002-1-L-48h-01F6_S30__bin.6.fa	5.0782	3.4452	99.82	11.046	NA-NA	HIGH	NA-NA	11	11.046	7350/7783	99.82	0	WK002-1-L-48h-01F6_S30_k141_2565	zr26742_3_n5000000
zr26742_3_n5000000_trimmed_1.fastq.gz	YulandiA_2020__SRS6115053__bin.10.fa	3.1016	3.532	99.85	6.746	NA-NA	HIGH	NA-NA	6	6.746	12112/12698	99.85	0	SRS6115053_k141_3360	zr26742_3_n5000000
zr26742_3_n5000000_trimmed_1.fastq.gz	MAG_19.fa	2.8889	5.7983	99.25	6.284	NA-NA	HIGH	NA-NA	6	6.284	18126/22889	99.25	0	MAG_19_0	zr26742_3_n5000000
zr26742_3_n5000000_trimmed_1.fastq.gz	MASTER_WP4_TEAGASC_1__TGS12-29__bin.6.fa	1.8076	1.6617	99.15	3.932	NA-NA	HIGH	NA-NA	4	3.932	7965/10372	99.15	16	TGS12-29_k141_701	zr26742_3_n5000000
zr26742_3_n5000000_trimmed_1.fastq.gz	EBC_134.5.fa	1.4584	3.471	98.46	3.172	NA-NA	HIGH	NA-NA	3	3.172	16280/26324	98.46	7	EBC_134.5_EBC_134_scaffold_561	zr26742_3_n5000000
zr26742_3_n5000000_trimmed_1.fastq.gz	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101.fa	0.7258	0.7966	97.82	1.579	97.72-97.92	1.579	1.48-1.68	2	2.63	4939/12230	97.12	2972	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101_NZ_WOTS01000010.1 Enterococcus lactis strain CICC 24101 NODE_10_length_82300_cov_4.602353, whole genome shotgun sequence	zr26742_3_n5000000
zr26742_3_n5000000_trimmed_1.fastq.gz	GCF_001885995.1_ASM188599v1_genomic.fa	0.7048	0.6265	98.03	1.533	97.94-98.14	1.533	1.41-1.63	2	2.145	4299/10141	97.27	127	GCF_001885995.1_ASM188599v1_genomic_NZ_JXKT01000001.1 Enterococcus italicus DSM 15952 Scaffold1, whole genome shotgun sequence	zr26742_3_n5000000
zr26742_3_n5000000_trimmed_1.fastq.gz	LeechJ_xxxx__AF66__bin.10.fa	0.485	0.4371	95.95	1.055	95.69-96.12	1.055	0.97-1.19	2	2.382	1808/9849	94.68	3854	AF66_k141_123	zr26742_3_n5000000
zr26742_3_n5000000_trimmed_1.fastq.gz	P.1_bin.1.fa	0.3983	0.688	96.5	0.866	96.34-96.62	0.866	0.82-0.93	1	1.549	3766/19536	94.83	195	P.1_bin.1_k77_21174	zr26742_3_n5000000
zr26742_3_n5000000_trimmed_1.fastq.gz	FontanaF_2023__SRR20746839__bin.4.fa	0.3737	0.2418	98.62	0.813	98.43-98.83	0.813	0.74-0.90	1	1.463	2659/7322	96.79	10	NODE_2_length_148631_cov_25.9785_ID_15265	zr26742_3_n5000000
zr26742_3_n5000000_trimmed_1.fastq.gz	LeechJ_xxxx__AF15__bin.4.fa	0.2009	0.2895	99.19	0.437	99.02-99.38	0.437	0.41-0.46	1	1.265	4396/15952	95.93	12	AF15_k141_25	zr26742_3_n5000000
zr26742_3_n5000000_trimmed_1.fastq.gz	GCF_015244665.1_ASM1524466v1_genomic.fa	0.1743	0.2153	97.08	0.379	96.72-97.36	0.379	0.34-0.42	1	1.219	1764/13994	93.54	2	GCF_015244665.1_ASM1524466v1_genomic_NZ_JABCQN010000001.1 Gluconobacter japonicus strain R71697 contig00001, whole genome shotgun sequence	zr26742_3_n5000000
zr26742_3_n5000000_trimmed_1.fastq.gz	LeechJ_xxxx__AF66__bin.13.fa	0.0829	0.0407	98.35	0.18	97.67-99.20	0.180	0.13-0.23	1	1.554	572/5623	92.89	30	AF66_k141_253	zr26742_3_n5000000
